,t_type,met_type,inferred_met_type
636835010,L6 IT VISp Penk Fst,,
792687812,L4 IT VISp Rspo1,L4 IT,L4 IT
992769223,L6 IT VISp Col18a1,,L6 IT-2
990258379,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
643511500,L4 IT VISp Rspo1,,L4 IT
763970766,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
680973517,L4 IT VISp Rspo1,L4 IT,L4 IT
896701648,L6 IT VISp Penk Fst,,
929535184,L5 ET VISp Krt80,,L5 ET-3
849675474,L4 IT VISp Rspo1,,L4 IT
914412754,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
992023765,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
962004183,L6 IT VISp Penk Fst,,
908960987,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
929547484,L6 IT VISp Penk Col27a1,,L6 IT-2
1036043483,L6b P2ry12,,L6b
947975387,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
920016093,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1036055775,L6b VISp Mup5,,L6b
694830305,L5 IT VISp Batf3,,L5 IT-1
743134436,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
915690724,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
906552550,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
959190247,L5 NP VISp Trhr Met,L5 NP,L5 NP
644482280,L5 IT VISp Batf3,,L5 IT-1
826750185,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
963093741,L6 IT VISp Col23a1 Adamts2,,
1054106864,L6 IT VISp Car3,,L5/L6 IT Car3
643798256,L4 IT VISp Rspo1,L4 IT,L4 IT
992769264,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
863483123,L6b VISp Col8a1 Rxfp1,L6b,L6b
972461300,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
948360440,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
973792505,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
764495103,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
643003647,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
603337985,L5 IT VISp Whrn Tox2,L4 IT,L4 IT
640111874,L4 IT VISp Rspo1,L4 IT,L4 IT
904832267,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
961238285,L5 NP VISp Trhr Met,L5 NP,L5 NP
945796367,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
717079828,L4 IT VISp Rspo1,,L4 IT
908948756,L6 IT VISp Col23a1 Adamts2,,
628802839,L4 IT VISp Rspo1,,L4 IT
839587095,L6b VISp Col8a1 Rxfp1,,L6b
848303383,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
679511332,L4 IT VISp Rspo1,,L4 IT
767362340,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
612402470,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
902284580,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
992408868,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
965088550,L5 ET VISp Krt80,,L5 ET-3
904918317,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
989164849,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
916620597,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
1000756535,L6 IT VISp Car3,,L5/L6 IT Car3
952669499,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
992769339,L6 IT VISp Col18a1,,
961238333,L5 IT VISp Col27a1,L5 IT-3 Pld5,L5 IT-3 Pld5
901334338,L6 IT VISp Col18a1,,
990348610,L6 IT VISp Penk Col27a1,,
927810884,L6 CT VISp Ctxn3 Sla,,L6 CT-1
736499017,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
823260493,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
824972626,L4 IT VISp Rspo1,,L4 IT
913773906,L6 IT VISp Penk Fst,,
887207252,L5 IT VISp Whrn Tox2,L4/L5 IT,L4/L5 IT
823231829,L2/3 IT VISp Rrad,,L2/3 IT
912868696,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
965719385,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
628561242,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
989128029,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
829318500,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
950093160,L4 IT VISp Rspo1,,L4 IT
992195946,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
983319917,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
642999662,L5 ET VISp Krt80,,L5 ET-2
951747950,L4 IT VISp Rspo1,,L4 IT
914265453,L6b VISp Mup5,L6b,L6b
904893806,L6 CT VISp Ctxn3 Sla,,L6 CT-1
717313398,L4 IT VISp Rspo1,L4 IT,L4 IT
978638200,L6b VISp Crh,,L6b
645518718,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
940778879,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
898553217,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
948360577,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
898598276,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
644953476,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
950322566,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
991966596,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
992441737,L2/3 IT VISp Rrad,,L2/3 IT
645834123,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
913716620,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
863438221,L6 CT VISp Ctxn3 Sla,,L6 CT-1
965072268,L5 ET VISp Krt80,,L5 ET-3
962991503,L2/3 IT VISp Rrad,,L2/3 IT
853783953,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
947340690,L5 ET VISp Krt80,,L5 ET-2
642790804,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
901346711,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
929527191,L5 ET VISp Lgr5,,L5 ET-3
991978907,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
603481505,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
992441763,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
695424422,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
919979431,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
716596648,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
1043785128,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
978159020,L5 ET VISp Krt80,,L5 ET-2
992396717,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
638211495,L4 IT VISp Rspo1,,L4 IT
1006384552,L6b VISp Col8a1 Rxfp1,,L6b
939537835,L4 IT VISp Rspo1,,L4 IT
916473265,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
1035142577,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
956433844,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
908858797,L6 CT VISp Ctxn3 Sla,,L6 CT-1
1034933680,L6b VISp Crh,L6b,L6b
970683827,L5 ET VISp Lgr5,,L5 ET-3
986109363,L2/3 IT VISp Agmat,,L2/3 IT
1035105719,L6b Col8a1 Rprm,,L6b
978138552,L6b P2ry12,,L6b
975488447,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
950334912,L2/3 IT VISp Agmat,,L2/3 IT
642999751,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
929416648,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
987063752,L6 CT VISp Ctxn3 Sla,,L6 CT-1
950265290,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
693261769,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
950027726,L4 IT VISp Rspo1,,L4 IT
1034933710,L6b Col8a1 Rprm,,L6b
919102928,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
1054721489,L6 IT VISp Car3,,L5/L6 IT Car3
920880594,L6 CT VISp Ctxn3 Sla,,L6 CT-1
913765840,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
961226203,L5 NP VISp Trhr Met,L5 NP,L5 NP
853738976,L6 CT VISp Gpr139,,L6 CT-2
950154720,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
950322658,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
851580386,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
697525735,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
992220647,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
922613228,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
917624301,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
645547517,L4 IT VISp Rspo1,,L4 IT
904943101,L6 CT VISp Nxph2 Wls,,L6 CT-1
913774081,L6 IT VISp Col23a1 Adamts2,,
973846017,L5 ET VISp Krt80,,L5 ET-2
945063428,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
954164743,L4 IT VISp Rspo1,,L4 IT
984004103,L6b VISp Crh,,L6b
1040463370,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
1043809804,L6b P2ry12,L6b,L6b
898676236,L5 ET VISp Krt80,,L5 ET-3
939652621,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
950363664,L6 IT VISp Col18a1,,L6 IT-1
702023186,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
982582806,L6b VISp Mup5,L6b,L6b
970073623,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
863450651,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
645453340,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
904709665,L6 CT VISp Krt80 Sla,,L6 CT-2
910247459,L2/3 IT VISp Rrad,,L2/3 IT
954066469,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
645379626,L5 NP VISp Trhr Met,L5 NP,L5 NP
1010677295,L6b VISp Crh,L6b,L6b
880784944,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
640026162,L6 IT VISp Penk Col27a1,L6 IT-3,L6 IT-3
849667636,L6 CT VISp Ctxn3 Sla,,L6 CT-1
904943158,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
951555639,L2/3 IT VISp Rrad,,L2/3 IT
927532600,L6 CT VISp Ctxn3 Sla,,L6 CT-1
908858936,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
880817724,L6 IT VISp Col18a1,,
863438397,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
908543551,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
987121219,L5 ET VISp Lgr5,,L5 ET-2
932730437,L6 CT VISp Ctxn3 Sla,,L6 CT-1
937854542,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
961230415,L5 NP VISp Trhr Met,L5 NP,L5 NP
935671381,L2/3 IT VISp Adamts2,,L2/3 IT
693266006,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
948405847,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
992790109,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
994887261,L5 ET VISp Lgr5,,L5 ET-2
681907807,L4 IT VISp Rspo1,,L4 IT
945833568,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
880784997,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
958953064,L5 NP VISp Trhr Met,,L5 NP
910472811,L6 CT VISp Krt80 Sla,,L6 CT-2
912889454,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
913794676,L6 IT VISp Col18a1,,
926803573,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
940635765,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
954148478,L4 IT VISp Rspo1,,L4 IT
1043949183,L5 IT VISp Whrn Tox2,,L4/L5 IT
901060224,L6 IT VISp Col18a1,,L6 IT-2
891594369,L4 IT VISp Rspo1,L2/3 IT,L2/3 IT
912340608,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
908682883,L5 ET VISp Krt80,,L5 ET-2
736491141,L6 CT VISp Nxph2 Wls,,L6 CT-1
741213831,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
1055393423,L5 NP VISp Trhr Met,,L5 NP
644953743,L6 CT VISp Ctxn3 Sla,,L6 CT-1
898881170,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
893433491,L6 IT VISp Penk Col27a1,,
973383317,L2/3 IT VISp Rrad,,L2/3 IT
902297243,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
826840735,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
989382305,L6b Col8a1 Rprm,,L6b
970090146,L6b P2ry12,,L6b
912918179,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
912275105,L2/3 IT VISp Rrad,,L2/3 IT
895833764,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
645379753,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
824923819,L2/3 IT VISp Agmat,,L2/3 IT
902112940,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
940783281,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
897009330,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
895674035,L4 IT VISp Rspo1,,L4 IT
982738610,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
645449397,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
932730547,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
991975097,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
902158010,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
978147006,L5 ET VISp Krt80,,L5 ET-3
826840774,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
969959114,L5 IT VISp Batf3,,L5 IT-1
645551825,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
903890643,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
992749267,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
661513942,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
827655895,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
829302487,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
741865175,L6 IT VISp Penk Col27a1,,
903853784,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
889648857,L6 IT VISp Penk Col27a1,,
1039251161,L6 CT VISp Krt80 Sla,,L6 CT-2
1010665186,L6b VISp Mup5,,L6b
941635300,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
829298408,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
898701038,L5 IT VISp Col27a1,,L5 IT-3 Pld5
657192687,L5 IT VISp Batf3,,L5 IT-1
965605105,L6 IT VISp Col18a1,,
902067954,L6 CT VISp Ctxn3 Sla,,L6 CT-1
896124663,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
853739259,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
811374333,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
915572484,L6 IT VISp Penk Fst,,
904709898,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
986867466,L6 CT VISp Krt80 Sla,,L6 CT-2
990590730,L6 IT VISp Penk Col27a1,,
919979790,L6 IT VISp Penk Col27a1,,
990594834,L6 IT VISp Penk Col27a1,,L6 IT-2
610440978,L6b VISp Mup5,L6b,L6b
990340884,L6 IT VISp Penk Col27a1,,L6 IT-2
1038771988,L6 IT VISp Col18a1,,
904689430,L6 CT VISp Krt80 Sla,,L6 CT-2
966592282,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
966690589,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
898946846,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
973772579,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
811341605,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
904935208,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
972560174,L5 ET VISp Krt80,,L5 ET-3
907429679,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
733620016,L6b VISp Crh,L6b,L6b
967739190,L6 IT VISp Col23a1 Adamts2,,
947189559,L5 IT VISp Batf3,,L5 IT-1
839337787,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
926926652,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
990607167,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
1006380866,L6b P2ry12,L6b,L6b
912340803,L6b VISp Mup5,,L6b
735258437,L4 IT VISp Rspo1,,L4 IT
910432073,L6 CT VISp Krt80 Sla,,L6 CT-2
904955725,L6 CT VISp Ctxn3 Sla,,L6 CT-1
901412692,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
901093205,L6 IT VISp Penk Col27a1,,
904808278,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
638322521,L4 IT VISp Rspo1,,L4 IT
637380444,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
973440862,L5 ET VISp Krt80,,L5 ET-2
882763615,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
693274467,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
922597220,L2/3 IT VISp Rrad,,L2/3 IT
906532711,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
902043499,L6 CT VISp Ctxn3 Sla,,L6 CT-1
645818223,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
907388787,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
917596020,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
919660405,L6 CT VISp Ctxn3 Sla,,L6 CT-1
834094967,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
880875384,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
880895865,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
724539260,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
942307202,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
656721795,L5 IT VISp Batf3,L4/L5 IT,L4/L5 IT
743122822,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
992782216,L5 ET VISp Lgr5,,L5 ET-2
906581896,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
989460363,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
1010976652,L6b VISp Mup5,L6b,L6b
942421907,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
948168600,L4 IT VISp Rspo1,,L4 IT
950081436,L4 IT VISp Rspo1,,L4 IT
982558622,L6b VISp Crh,,L6b
907155359,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
716793760,L6 IT VISp Col23a1 Adamts2,L6 IT-3,L6 IT-3
851580834,L6 CT VISp Krt80 Sla,,L6 CT-2
917657507,L6 IT VISp Penk Col27a1,L6 IT-3,L6 IT-3
605493156,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
945768358,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
646854566,L6 CT VISp Nxph2 Wls,,L6 CT-1
922679209,L6 IT VISp Col18a1,,L6 IT-2
893450158,L4 IT VISp Rspo1,,L4 IT
645453746,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
1035458483,L6b VISp Mup5,,L6b
995575732,L5 ET VISp Lgr5,,L5 ET-2
904050612,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
698726330,L4 IT VISp Rspo1,,L4 IT
831195067,L6 CT VISp Gpr139,,L6 CT-2
898967483,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
828880827,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
965052351,L5 ET VISp Lgr5,,L5 ET-3
717076419,L6 IT VISp Penk Col27a1,,
1036212166,L6b P2ry12,,L6b
652789704,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
907319241,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
1044350923,L4 IT VISp Rspo1,,L4 IT
969238479,L6 IT VISp Col23a1 Adamts2,,
989501392,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
948312017,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
863418322,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
864012243,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645453779,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
992393180,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
926930912,L6 CT VISp Ctxn3 Sla,,L6 CT-1
764475368,L4 IT VISp Rspo1,,L4 IT
645363692,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
990271469,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
898967534,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
825354223,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
990238702,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
882206710,L4 IT VISp Rspo1,,L4 IT
904792055,L6 CT VISp Krt80 Sla,,L6 CT-2
948344824,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
961935353,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
1006163964,L6b P2ry12,,L6b
896931841,L6 IT VISp Col23a1 Adamts2,,L6 IT-1
638978050,L4 IT VISp Rspo1,,L4 IT
645380099,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
898889738,L4 IT VISp Rspo1,,L4 IT
823220235,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
886474771,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
940668952,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
645834778,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
644933664,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
679270434,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
1039550499,L6b VISp Col8a1 Rxfp1,,L6b
679647266,L4 IT VISp Rspo1,,L4 IT
888338468,L6 CT VISp Krt80 Sla,,L6 CT-2
992393250,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
940603431,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
644581427,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
947390515,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
661481525,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
1043798071,L5 NP VISp Trhr Met,,L5 NP
907462719,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
965609536,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
679499842,L4 IT VISp Rspo1,,L4 IT
965744709,L5 ET VISp Krt80,,L5 ET-2
907389002,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
652175435,L5 IT VISp Batf3,,L5 IT-1
988932172,L6 CT VISp Krt80 Sla,,L6 CT-2
882759763,L4 IT VISp Rspo1,,L4 IT
882198617,L6 IT VISp Penk Fst,L6 IT-2,L6 IT-2
970078299,L6b Col8a1 Rprm,L6b,L6b
841889888,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
825436260,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
644548713,L5 ET VISp Lgr5,,L5 ET-2
645449840,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
847898754,L6 CT VISp Krt80 Sla,,L6 CT-2
867207304,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
864012426,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
971557004,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
983472272,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
920615063,L6 CT VISp Ctxn3 Sla,,L6 CT-1
640006296,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
820009113,L4 IT VISp Rspo1,,L4 IT
847902873,L5 IT VISp Batf3,L4/L5 IT,L4/L5 IT
966473885,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
926754976,L6 IT VISp Col18a1,,
826837153,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
742717602,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
898939046,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
951720102,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
972429481,L6 CT VISp Ctxn3 Sla,,L6 CT-1
637380781,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
987089070,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
966772916,L6 IT VISp Col18a1,,L6 IT-2
989153463,L5 ET VISp Krt80,,L5 ET-2
628545731,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
764033223,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
964872401,L6 CT VISp Nxph2 Wls,,L6 CT-1
845555925,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
904886485,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
965535967,L6 IT VISp Penk Col27a1,L6 IT-1,L6 IT-1
934844641,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
712153315,L5 NP VISp Trhr Met,L5 NP,L5 NP
851650794,L6 CT VISp Nxph2 Wls,,L6 CT-1
940759275,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
644827374,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
919091442,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
645458163,L5 ET VISp Krt80,,L5 ET-3
965626099,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
989464819,L5 ET VISp Krt80,,L5 ET-2
904059133,L6 IT VISp Col18a1,,L6 IT-2
904005886,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
972470526,L6 CT VISp Ctxn3 Sla,,L6 CT-1
735205632,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
653195521,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
865208579,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
645368074,L4 IT VISp Rspo1,,L4 IT
912767246,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
963225872,L4 IT VISp Rspo1,,L4 IT
915441937,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
909547798,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
913701146,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
990599451,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
926861604,L6 IT VISp Col23a1 Adamts2,,
913819943,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
934725928,L6 IT VISp Col18a1,,
681400617,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
972458284,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
904108338,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
915515705,L6 IT VISp Col23a1 Adamts2,,
904948028,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
841873725,L6 IT VISp Col18a1,,
893401406,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
963049789,L6 CT VISp Nxph2 Wls,,L6 CT-1
646101314,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
902105412,L6 CT VISp Ctxn3 Sla,,L6 CT-1
961235271,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
1035970888,L6b VISp Crh,L6b,L6b
904051017,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
